📈 PSX ATH Zone — 07 Sep 2026 (session 07 Sep)
Rule: 0–40% below all-time high (split/bonus-adjusted) · all PSX equities

🆕 PTL 53.12 · ▼19.4% · ATH 65.88 (20 Jan 26)
🆕 NAGC 76.02 · ▼19.4% · ATH 94.35 (17 Jun 26)
🆕 FANM 9.80 · ▼20.3% · ATH 12.30 (31 Aug 26)
🆕 FFC 545.50 · ▼20.4% · ATH 685.00 (26 Jan 26)
🆕 ALAC 22.25 · ▼20.5% · ATH 27.99 (11 Jun 26)
🆕 FATIMA 152.83 · ▼20.7% · ATH 192.80 (3 Feb 26)
🆕 LOTCHEM 26.08 · ▼20.8% · ATH 32.91 (13 Jul 26)
🆕 MTL 306.64 · ▼21.0% · ATH 387.96 (15 Jan 25)
🆕 MUREB 922.00 · ▼21.2% · ATH 1,169.92 (19 Aug 25)
🆕 SIEM 1,619.50 · ▼21.2% · ATH 2,055.00 (29 Oct 07)
🆕 PKGS 760.00 · ▼21.3% · ATH 965.98 (23 Jan 17)
🆕 PPL 223.23 · ▼21.6% · ATH 284.60 (30 Jan 26)
🆕 OTSU 375.44 · ▼21.6% · ATH 478.89 (12 Jun 25)
🆕 GEMBCEM 11.30 · ▼22.1% · ATH 14.50 (14 Jul 26)
🆕 SAIF 43.37 · ▼22.2% · ATH 55.75 (13 Jul 26)
🆕 LSECL 6.27 · ▼22.3% · ATH 8.07 (10 Jul 26)
🆕 INDU 1,886.56 · ▼22.4% · ATH 2,430.00 (26 Aug 25)
🆕 SHFA 476.76 · ▼22.5% · ATH 615.28 (21 Jan 26)
🆕 ISIL 1,834.81 · ▼22.6% · ATH 2,370.00 (2 Oct 25)
🆕 ABL 169.63 · ▼22.8% · ATH 219.80 (22 Jul 25)
🆕 PRWM 64.59 · ▼23.0% · ATH 83.90 (9 Jul 26)
🆕 SRVI 189.41 · ▼23.1% · ATH 246.42 (29 Jun 26)
🆕 SPAC2 13.95 · ▼23.1% · ATH 18.15 (15 Jul 26)
🆕 PSYL 121.31 · ▼23.2% · ATH 158.00 (16 Jul 26)
🆕 LSEFSL 3.84 · ▼23.6% · ATH 5.03 (16 Jun 25)
🆕 THCCL 79.04 · ▼23.6% · ATH 103.50 (14 Oct 25)
🆕 AICL 96.94 · ▼23.6% · ATH 126.96 (22 Oct 07)
🆕 GEMPACRA 37.40 · ▼23.7% · ATH 49.00 (30 Jun 26)
🆕 THALL 556.22 · ▼23.8% · ATH 730.00 (28 Apr 26)
🆕 NCML 15.65 · ▼24.2% · ATH 20.64 (6 Feb 26)
🆕 HMB 100.01 · ▼24.2% · ATH 132.00 (19 Feb 26)
🆕 ICL 133.30 · ▼24.3% · ATH 176.00 (4 Dec 25)
🆕 NBP 184.05 · ▼24.3% · ATH 243.17 (4 Feb 26)
🆕 CHCC 294.75 · ▼24.4% · ATH 390.00 (8 Sep 25)
🆕 HAFL 475.23 · ▼24.5% · ATH 629.50 (18 Dec 25)
🆕 TSPL 15.47 · ▼24.5% · ATH 20.50 (8 Jul 26)
🆕 GOC 177.00 · ▼24.7% · ATH 235.00 (24 Jul 26)
🆕 STYLERS 50.95 · ▼24.7% · ATH 67.70 (29 Jan 24)
🆕 CENI 52.81 · ▼25.1% · ATH 70.48 (28 Aug 26)
🆕 UCAPM 6.21 · ▼25.2% · ATH 8.30 (30 Dec 25)
🆕 HINOON 922.05 · ▼25.7% · ATH 1,241.00 (21 Aug 25)
🆕 INKL 93.37 · ▼25.9% · ATH 126.00 (23 Jun 26)
🆕 SINDM 30.51 · ▼26.0% · ATH 41.25 (29 Dec 25)
🆕 DGKC 203.27 · ▼26.3% · ATH 275.75 (26 Sep 25)
🆕 ASTM 125.14 · ▼26.4% · ATH 170.00 (25 Aug 26)
🆕 OLPM 24.98 · ▼26.5% · ATH 34.00 (17 Jun 15)
🆕 MARI 661.30 · ▼26.5% · ATH 900.23 (16 Dec 24)
🆕 FRCL 86.82 · ▼26.7% · ATH 118.45 (15 Jul 26)
🆕 ITANZ 39.31 · ▼27.1% · ATH 53.96 (12 Jun 26)
🆕 SAZEW 1,811.36 · ▼27.2% · ATH 2,487.00 (9 Feb 26)
🆕 SYS 126.64 · ▼27.4% · ATH 174.40 (31 Dec 25)
🆕 DOL 30.00 · ▼27.5% · ATH 41.36 (25 Sep 20)
🆕 ADAMS 65.98 · ▼27.5% · ATH 90.98 (13 Jan 26)
🆕 KOHC 91.76 · ▼27.5% · ATH 126.60 (29 Dec 25)
🆕 GVGL 54.28 · ▼27.6% · ATH 75.00 (29 Jul 25)
🆕 AGIC 40.16 · ▼27.7% · ATH 55.58 (22 Jul 25)
🆕 SCBPL 62.11 · ▼27.8% · ATH 85.99 (21 Aug 25)
🆕 HUSI 51.88 · ▼27.8% · ATH 71.87 (1 Jul 26)
🆕 STML 50.74 · ▼27.9% · ATH 70.38 (21 Jul 26)
🆕 ICCI 14.34 · ▼28.0% · ATH 19.91 (4 Jun 25)
🆕 SPAC1 15.82 · ▼28.0% · ATH 21.97 (15 May 26)
🆕 PNSC 517.66 · ▼28.0% · ATH 719.00 (16 Jan 26)
🆕 EFERT 189.52 · ▼28.0% · ATH 263.30 (5 Jan 26)
🆕 REDCO 29.05 · ▼28.1% · ATH 40.40 (22 Jan 26)
🆕 SMCPL 41.18 · ▼28.1% · ATH 57.30 (9 Jan 26)
🆕 MUGHALC 61.00 · ▼28.2% · ATH 85.00 (26 Dec 25)
🆕 SITC 760.00 · ▼28.3% · ATH 1,060.00 (15 Sep 25)
🆕 AABS 821.85 · ▼28.5% · ATH 1,150.00 (8 Aug 25)
🆕 CRTM 68.88 · ▼28.6% · ATH 96.50 (21 Apr 26)
🆕 BAFS 461.67 · ▼28.6% · ATH 647.00 (4 Aug 26)
🆕 WAHDAT 15.53 · ▼28.7% · ATH 21.78 (11 May 26)
🆕 SASML 333.96 · ▼28.9% · ATH 469.49 (2 Jun 26)
🆕 PSO 359.73 · ▼29.0% · ATH 506.75 (20 Jan 26)
🆕 WASL 6.55 · ▼29.1% · ATH 9.24 (14 Oct 25)
🆕 MLCF 99.05 · ▼29.2% · ATH 139.89 (9 Feb 17)
🆕 ABOT 925.87 · ▼29.3% · ATH 1,310.00 (15 Jan 25)
🆕 FCEPL 148.61 · ▼29.6% · ATH 211.00 (25 Jan 17)
🆕 JSIL 40.12 · ▼29.6% · ATH 57.00 (20 Feb 26)
🆕 UDLI 17.94 · ▼29.6% · ATH 25.50 (29 Apr 26)
🆕 HALEON 708.08 · ▼29.9% · ATH 1,010.00 (9 Jan 26)
🆕 SZTM 89.16 · ▼29.9% · ATH 127.25 (7 Jul 26)
🆕 ACPL 232.67 · ▼30.1% · ATH 333.00 (19 May 25)
🆕 IMAGE 25.73 · ▼30.1% · ATH 36.83 (8 Jul 25)
🆕 ARMG 53.77 · ▼30.2% · ATH 77.00 (17 Jul 26)
🆕 TSMF 16.69 · ▼30.5% · ATH 24.00 (1 Jun 26)
🆕 ZTL 16.99 · ▼30.6% · ATH 24.48 (22 Jun 26)
🆕 UDPL 117.04 · ▼30.7% · ATH 168.99 (29 Oct 25)
🆕 AHTM 92.88 · ▼30.8% · ATH 134.15 (27 Feb 26)
🆕 ALIFE 31.37 · ▼31.0% · ATH 45.45 (20 Jan 26)
🆕 ICIBL 16.71 · ▼31.1% · ATH 24.26 (13 Jul 26)
🆕 SPSL 16.11 · ▼31.3% · ATH 23.45 (12 Jun 26)
🆕 BAHL 157.85 · ▼31.4% · ATH 230.01 (22 Oct 25)
🆕 BWCL 471.90 · ▼31.4% · ATH 687.61 (24 Sep 25)
🆕 CTM 6.70 · ▼31.4% · ATH 9.77 (7 Jan 26)
🆕 EPQL 23.86 · ▼31.8% · ATH 34.98 (11 Dec 25)
🆕 UPFL 25,205.93 · ▼31.8% · ATH 36,971.47 (25 Jul 25)
🆕 TICL 1,033.82 · ▼32.0% · ATH 1,520.00 (13 Aug 26)
🆕 RMPL 9,223.00 · ▼32.0% · ATH 13,565.64 (23 Dec 25)
🆕 ATIL 75.41 · ▼32.5% · ATH 111.80 (24 Sep 25)
🆕 HAEL 25.56 · ▼32.7% · ATH 37.96 (6 Jul 26)
🆕 GWLC 52.41 · ▼32.8% · ATH 77.96 (7 Oct 25)
🆕 MCBIM 166.47 · ▼32.9% · ATH 247.99 (16 Oct 25)
🆕 RICL 12.18 · ▼32.9% · ATH 18.16 (8 Sep 25)
🆕 IMS 20.09 · ▼33.0% · ATH 30.00 (31 Jul 26)
🆕 COLG 1,190.05 · ▼33.1% · ATH 1,780.00 (14 Nov 23)
🆕 PQGTL 13.20 · ▼33.3% · ATH 19.80 (9 Jun 26)
🆕 GLAXO 320.62 · ▼33.3% · ATH 481.00 (14 Apr 25)
🆕 CPHL 72.68 · ▼33.5% · ATH 109.30 (11 Feb 25)
🆕 NML 137.92 · ▼33.8% · ATH 208.40 (19 Jan 26)
🆕 LPL 20.83 · ▼33.9% · ATH 31.50 (24 Feb 25)
🆕 HGFA 14.15 · ▼33.9% · ATH 21.40 (23 Sep 25)
🆕 FEM 11.70 · ▼33.9% · ATH 17.70 (4 Dec 25)
🆕 GSPM 6.39 · ▼34.0% · ATH 9.68 (7 Oct 11)
🆕 ANSM 25.60 · ▼34.0% · ATH 38.80 (8 Jul 26)
🆕 ARCTM 42.84 · ▼34.1% · ATH 65.00 (20 Aug 26)
🆕 FASM 322.50 · ▼34.2% · ATH 489.90 (25 Feb 22)
🆕 SKRS 27.14 · ▼34.2% · ATH 41.25 (30 Dec 25)
🆕 REWM 160.38 · ▼34.3% · ATH 244.05 (30 Jan 26)
🆕 KEL 7.17 · ▼34.3% · ATH 10.92 (27 Jan 17)
🆕 DLL 48.80 · ▼34.4% · ATH 74.36 (17 Dec 25)
🆕 CFL 61.68 · ▼34.4% · ATH 94.01 (12 Sep 25)
🆕 FTSM 42.63 · ▼34.5% · ATH 65.08 (20 Aug 26)
🆕 PECO 677.00 · ▼34.8% · ATH 1,039.00 (2 Sep 24)
🆕 BFAGRO 31.94 · ▼35.1% · ATH 49.25 (18 Sep 25)
🆕 DWTM 10.40 · ▼35.2% · ATH 16.04 (3 Jan 14)
🆕 SURC 146.25 · ▼35.2% · ATH 225.68 (29 Jan 21)
🆕 ORM 10.88 · ▼35.2% · ATH 16.79 (26 Sep 25)
🆕 NSRM 233.75 · ▼35.5% · ATH 362.31 (22 Jul 26)
🆕 FLYNG 40.52 · ▼35.5% · ATH 62.85 (11 Jun 25)
🆕 NPL 64.62 · ▼35.7% · ATH 100.45 (2 Feb 26)
🆕 JDMT 132.14 · ▼35.7% · ATH 205.44 (4 Feb 14)
🆕 IREIT 8.36 · ▼35.9% · ATH 13.05 (8 Oct 25)
🆕 PAKL 52.86 · ▼36.1% · ATH 82.75 (1 Dec 25)
🆕 QUICE 29.20 · ▼36.6% · ATH 46.06 (9 Jan 26)
🆕 NCPL 56.58 · ▼36.8% · ATH 89.48 (2 Feb 26)
🆕 AKDSL 36.83 · ▼36.9% · ATH 58.38 (4 Feb 26)
🆕 PAKQATAR 18.54 · ▼36.9% · ATH 29.40 (8 Jun 26)
🆕 FIBLM 16.06 · ▼37.0% · ATH 25.48 (27 Aug 26)
🆕 AGP 162.52 · ▼37.2% · ATH 258.67 (10 Feb 26)
🆕 BOK 28.80 · ▼37.2% · ATH 45.90 (14 Jan 26)
🆕 WAHN 272.72 · ▼37.3% · ATH 435.00 (24 Sep 25)
🆕 KSTM 12.95 · ▼37.3% · ATH 20.66 (2 Dec 25)
🆕 RUBY 24.96 · ▼37.3% · ATH 39.83 (20 Aug 26)
🆕 GHGL 42.15 · ▼37.8% · ATH 67.71 (25 Jan 21)
🆕 PRET 557.81 · ▼38.0% · ATH 899.99 (19 Jul 22)
🆕 FPRM 10.52 · ▼38.1% · ATH 16.99 (14 Oct 25)
🆕 TOWL 209.46 · ▼38.1% · ATH 338.36 (13 Apr 23)
🆕 SEPL 152.90 · ▼38.5% · ATH 248.50 (11 Sep 20)
🆕 IBFL 263.67 · ▼38.5% · ATH 429.00 (17 Jan 24)
🆕 SHDT 55.29 · ▼38.6% · ATH 90.00 (19 Jun 25)
🆕 MUGHAL 76.50 · ▼38.6% · ATH 124.60 (3 Mar 21)
